"""%field"" can not be empty.","""%field"" can not be empty."
"""%field"" can not be null.","""%field"" can not be null."
"A server error stopped your orders from being placed. Please try to place your orders again.","A server error stopped your orders from being placed. Please try to place your orders again."
Action,Action
Address,Address
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>"
"All Sources","All Sources"
Apply,Apply
"Back to Billing Information","Back to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Buy now with PayPal","Buy now with PayPal"
"Can't check requested quantity for products without source items support.","Can't check requested quantity for products without source items support."
"Carriers with such methods not found: %1","Carriers with such methods not found: %1"
Change,Change
City,City
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Click to change shipping method","Click to change shipping method"
"Column ""%1"" not found","Column ""%1"" not found"
Configuration,Configuration
"Continue Shopping","Continue Shopping"
"Continue to Billing Information","Continue to Billing Information"
Country,Country
"Current Source Only","Current Source Only"
"Custom Price","Custom Price"
Discount,Discount
"Duplicate row #%1 (duplicates row #%2)","Duplicate row #%1 (duplicates row #%2)"
Edit,Edit
"Edit Items","Edit Items"
"Edit Payment Information","Edit Payment Information"
"Edit Shopping Cart","Edit Shopping Cart"
"Enable Price","Enable Price"
"Enable Tax Class","Enable Tax Class"
Enabled,Enabled
"Enter your destination to get a totals estimate.","Enter your destination to get a totals estimate."
"Estimate Product Totals","Estimate Product Totals"
"Estimate Totals","Estimate Totals"
"Exception for failed order not found.","Exception for failed order not found."
"Excl. Tax","Excl. Tax"
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"Get shipping methods and rates","Get shipping methods and rates"
"Grand Total:","Grand Total:"
"Incl. Tax","Incl. Tax"
"Incorrect condition.","Incorrect condition."
"Invalid price","Invalid price"
"Invalid product tax class identifier","Invalid product tax class identifier"
"Invalid shipping methods","Invalid shipping methods"
"Invalid source code.","Invalid source code."
Item,Item
Items,Items
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wish List","Move to Wish List"
"No destination address was provided in the request","No destination address was provided in the request"
"No ordered items","No ordered items"
"No product quotes found.","No product quotes found."
"Order # ","Order # "
"Order Review","Order Review"
"Orders saving error: %1","Orders saving error: %1"
"Other items in your order","Other items in your order"
"Parameter ""object"" must be present.","Parameter ""object"" must be present."
"Parameter ""sort_order"" must be present for urequired conditions.","Parameter ""sort_order"" must be present for urequired conditions."
"Payment Method","Payment Method"
"Place Order","Place Order"
"Please confirm source switching. All data that hasn't been saved will be lost.","Please confirm source switching. All data that hasn't been saved will be lost."
"Please see","Please see"
"Please select","Please select"
"Please select a shipping method...","Please select a shipping method..."
"Please specify the product source.","Please specify the product source."
"Please update order data to get shipping methods and rates","Please update order data to get shipping methods and rates"
Price,Price
"Print receipt","Print receipt"
"Print receipt for order number: %1","Print receipt for order number: %1"
Product,Product
"Product Name","Product Name"
Qty,Qty
"Quote address for failed order ID ""%1"" not found.","Quote address for failed order ID ""%1"" not found."
"Quote is not set for the payment failures service.","Quote is not set for the payment failures service."
Remove,Remove
"Requested column ""%1"" cannot be resolved","Requested column ""%1"" cannot be resolved"
"Row Subtotal","Row Subtotal"
SKU,SKU
"Select Source","Select Source"
