"Custom image uploading is not allowed.","Custom image uploading is not allowed."
"Image file decoding error.","Image file decoding error."
"Invalid file extension.","Invalid file extension."
"Something went wrong during file uploading.","Something went wrong during file uploading."
"Required parameter ""cart_id"" is missing","Required parameter ""cart_id"" is missing"
"Required parameter ""cart_items"" is missing","Required parameter ""cart_items"" is missing"
"Required parameter ""%1"" is missing","Required parameter ""%1"" is missing"
"Required parameter '%1' is missing.","Required parameter '%1' is missing."
"Wrong Gift Card code.","Wrong Gift Card code."
"This Gift Code already exists.","This Gift Code already exists."
"Gift Code added.","Gift Code added."
"Gift Card has been successfully removed","Gift Card has been successfully removed"
"Specified Gift Card for current user is not found.","Specified Gift Card for current user is not found."
"Cannot remove gift card.","Cannot remove gift card."
"""cart"" value should be specified","""cart"" value should be specified"
"""model"" value should be specified","""model"" value should be specified"
