'My Product Subscription','My Product Subscription'
"In Stock","In Stock"
"Out Of Stock","Out Of Stock"
'Run Cron Now','Run Cron Now'
'Alert subscription has been saved.','Alert subscription has been saved.'
'There are not enough parameters.','There are not enough parameters.'
'We can\'t update the alert subscription right now.','We can\'t update the alert subscription right now.'
'A total of %1 record(s) have been deleted.','A total of %1 record(s) have been deleted.'
'Page not found.','Page not found.'
'You will no longer receive stock alerts for this product.','You will no longer receive stock alerts for this product.'
'The product was not found.','The product was not found.'
'We can\'t update the alert subscription right now.','We can\'t update the alert subscription right now.'
'You will no longer receive stock alerts.','You will no longer receive stock alerts.'
'Unable to update the alert subscription.','Unable to update the alert subscription.'
'Invalid block type: %1','Invalid block type: %1'
'We can\'t save the cron expression.','We can\'t save the cron expression.'
'Sent','Sent'
'Pending','Pending'
'In stock alert! We wanted you to know that these products are now available:','In stock alert! We wanted you to know that these products are now available:'
'Notify me when this product is in stock','Notify me when this product is in stock'
'Your Email','Your Email'
'Notify Me','Notify Me'
'Cancel Coupon','Cancel Coupon'
'Stop Notify','Stop Notify'
'Stop All Notification','Stop All Notification'
'Stop Notify','Stop Notify'
'Status: ','Status: '
'Email subscribe: ','Email subscribe: '
'Product Name: ','Product Name: '
'Notify Me','Notify Me'
'Notify','Notify'
'Grouped','Grouped'
'Grouped product items','Grouped product items'
'Qty','Qty'
'We can\'t find products matching the selection.','We can\'t find products matching the selection.'
'Notify Button Design','Notify Button Design'
'Button Text','Button Text'
'Button Text Color','Button Text Color'
'Button Color','Button Color'
'Notification Message','Notification Message'
'Do you want to notify to customer of selected row records?','Do you want to notify to customer of selected row records?'
'Progress notification successfully','Progress notification successfully'
'Price Alert Subscription has been saved.','Price Alert Subscription has been saved.'
'Manage Price Alert Subscriptions','Manage Price Alert Subscriptions'
'My Price Alert Subscription','My Price Alert Subscription'
'Invalid value input. Please try again.','Invalid value input. Please try again.'
'My Price Alert Subscription','My Price Alert Subscription'
'Please correct this email address: %1','Please correct this email address: %1'
'Stock Alert Subscription has been saved.','Stock Alert Subscription has been saved.'
'Manage Stock Alert Subscriptions','Manage Stock Alert Subscriptions'
'Manage Price Alert Subscriptions','Manage Price Alert Subscriptions'
'Email notification of price change has been successfully sent to %1/%2 records!','Email notification of price change has been successfully sent to %1/%2 records!'
'%1 records have not been sent. Please check if the prices are updated.','%1 records have not been sent. Please check if the prices are updated.'
'%1 records have not been sent. Please check if Limit Email Send per Customer is reached.','%1 records have not been sent. Please check if Limit Email Send per Customer is reached.'
'%1 records have not been sent. Please check the file var/log/debug.log for error details.','%1 records have not been sent. Please check the file var/log/debug.log for error details.'
'A total of %1 record(s) have been deleted.','A total of %1 record(s) have been deleted.'
'Product ID is incorrect.','Product ID is incorrect.'
'You added %1 to your shopping cart.','You added %1 to your shopping cart.'
'The price of this product has been changed. If the change is not visible, try logging in or making changes on the product page.','The price of this product has been changed. If the change is not visible, try logging in or making changes on the product page.'
'Please login before seeing the page.','Please login before seeing the page.'
'The product is not visible now.','The product is not visible now.'
'You will no longer receive price alerts for this product.','You will no longer receive price alerts for this product.'
'Delete failed. It is possible that the price notification has been previously deleted.','Delete failed. It is possible that the price notification has been previously deleted.'
'You will no longer receive price alerts.','You will no longer receive price alerts.'
'Sign up for price alert','Sign up for price alert'
'Stop price alert for this product','Stop price alert for this product'
'BSS Price Alert Email: Product ID %1 failed to load data.','BSS Price Alert Email: Product ID %1 failed to load data.'
'BSS Price Alert Email: Price Alert ID %1 failed to load data. Please check the "bss_product_alert_price" table and delete it if needed.','BSS Price Alert Email: Price Alert ID %1 failed to load data. Please check the "bss_product_alert_price" table and delete it if needed.'
'BSS Price Alert Email: %1','BSS Price Alert Email: %1'
'Price of the following product has changed:','Price of the following product has changed:'
'You are receiving this because you subscribed for %s's price alerts.','You are receiving this because you subscribed for %s's price alerts.'
'You can manage all your subscriptions at %s (for logged-in users) or follow the link to %s from our price alerts.','You can manage all your subscriptions at %s (for logged-in users) or follow the link to %s from our price alerts.'
'Thank you,','Thank you,'
'Stock Alerts','Stock Alerts'
'Stock Alerts Run Settings','Stock Alerts Run Settings'
'Price Alerts','Price Alerts'
'Allow Price Subscription for Customer Group','Allow Price Subscription for Customer Group'
'Allow Price Subscription for Product Type','Allow Price Subscription for Product Type'
'Limit Email Send per Customer','Limit Email Send per Customer'
'Email Sender','Email Sender'
'Price Alert Email Template','Price Alert Email Template'
'Notification Message','Notification Message'
'Stop Notification Message','Stop Notification Message'
'Product Alerts','Product Alerts'
