"Name","Nomee"
"Email ID","E-mail identificativo utente"
"Customer Name","Nome del cliente"
"email_address","indirizzo email"
"Phone Number","Numero di telefono"
"phone_number","Numero di telefon"
"Inquiry Message","Messaggio di richiesta"
"Comment","Commento"
"Submit","Sottoscrivi"
"Inquiry for","Richiesta per"
"Country","Nazione"
"Email ID","E-mail identificativo utente"
"Phone Number","Numero di telefono"
"Inquiry Details","Dettagli di richiesta"
"Call For Price Inquiries","Richiedi informazioni sui prezzi"
"Please select Option(s).","Si prega di selezionare l'opzione (s)."
"A total of %1 record(s) have been deleted.","Un totale di% 1 record (s) sono stati cancellati."
"Your inquiry submitted successfully","La tua richiesta è stata inviata con successo"
"We can\'t process your request","Non possiamo elaborare la tua richiesta"
"Global","Globale"
"Product specific","Prodotto specifico"
"Category specific","Categoria specifica"
"Email,"E-mail"
"Inquiry Message","Messaggio di richiesta"
"Privacy Policy","politica sulla riservatezza"
"Please check the the captcha form.","Si prega di controllare il modulo captcha."
"You have received a new call for price inquiry at","Hai ricevuto una nuova richiesta di richiesta di prezzi a"
"with the following details:","con i seguenti dettagli"
"Thank you for your interest in our","Grazie per il vostro interesse per il nostro"
"Your inquiry has been submitted successfully. We are looking into it and will contact you soon.","La tua richiesta è stata inviata con successo. Stiamo esaminando e ti contatteremo presto."
"Hi","Ciao"
