"Delivery Date","تاريخ التسليم او الوصول"
"Delivery Time","موعد التسليم"
"Delivery Date &amp; Time","تاريخ التسليم & amp؛ زمن"
Main,الأساسية
"Show for all shipping methods","تظهر لجميع طرق الشحن"
"Date Field Settings","إعدادات حقل التاريخ"
"Field Label","تسمية الميدان"
"Show Field","عرض الحقل"
"Use first avilable date as default value","استخدم أول تاريخ متاح كقيمة افتراضية"
"Date format","صيغة التاريخ"
"Leave empty to use active locale format.","اتركه فارغًا لاستخدام تنسيق اللغة النشط."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l، j F، Y - Sunday، 4 October، 2018 </strong> <br/> l - تمثيل نصي كامل ليوم الأسبوع <br/> j - يوم الشهر دون ظهور أصفار < br /> F - تمثيل نصي كامل لشهر ، مثل يناير أو مارس <br/> Y - تمثيل رقمي كامل لسنة ، 4 أرقام <br/> <br/> <strong> m / d / Y - 10/04/2018 </strong> <br/> m - تمثيل رقمي لشهر ، مع الأصفار الرائدة <br/> d - يوم الشهر ، رقمان مع أصفار بارزة <br/> Y - رقم رقمي كامل تمثيل سنة ، 4 أرقام"
"Time Field Settings","إعدادات حقل الوقت"
"Time Options","خيارات الوقت"
"Add Time Entry","إضافة وقت الدخول"
"First available delivery date rules","أول قواعد تاريخ التسليم المتاحة"
"Delivery processing day ends at","ينتهي يوم التسليم في"
"Delivery will be available since first available day (order date) plus this value","سيكون التسليم متاحًا منذ أول يوم متاح (تاريخ الطلب) بالإضافة إلى هذه القيمة"
"Last available delivery date rules","آخر قواعد تاريخ التسليم المتاحة"
"Period in days, while delivery will be available, since first available day","الفترة بالأيام ، في حين أن التسليم سيكون متاحًا ، منذ اليوم الأول المتاح"
"Exclude delivery date rules","استبعاد قواعد تاريخ التسليم"
"Exclude days of week from delivery","استبعاد أيام الأسبوع من التسليم"
Holidays,العطل
Offset,عوض
"Add Holiday","أضف عطلة"
"Delivery Time is required","وقت التسليم مطلوب"
"Delivery Date is required","تاريخ التسليم مطلوب"
"Invalid Delivery Time value","قيمة وقت التسليم غير صالحة"
