"Delivery Date","Delivery Date"
"Delivery Time","Delivery Time"
"Delivery Date &amp; Time","Delivery Date &amp; Time"
Main,Main
"Show for all shipping methods","Show for all shipping methods"
"Date Field Settings","Date Field Settings"
"Field Label","Field Label"
"Show Field","Show Field"
"Use first avilable date as default value","Use first avilable date as default value"
"Date format","Date format"
"Leave empty to use active locale format.","Leave empty to use active locale format."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits"
"Time Field Settings","Time Field Settings"
"Time Options","Time Options"
"Add Time Entry","Add Time Entry"
"First available delivery date rules","First available delivery date rules"
"Delivery processing day ends at","Delivery processing day ends at"
"Delivery will be available since first available day (order date) plus this value","Delivery will be available since first available day (order date) plus this value"
"Last available delivery date rules","Last available delivery date rules"
"Period in days, while delivery will be available, since first available day","Period in days, while delivery will be available, since first available day"
"Exclude delivery date rules","Exclude delivery date rules"
"Exclude days of week from delivery","Exclude days of week from delivery"
Holidays,Holidays
Offset,Offset
"Add Holiday","Add Holiday"
"Delivery Time is required","Delivery Time is required"
"Delivery Date is required","Delivery Date is required"
"Invalid Delivery Time value","Invalid Delivery Time value"
"Delivery processing day ends at (Exceptions)","Delivery processing day ends at (Exceptions)"
