"Delivery Date","Fecha de entrega"
"Delivery Time","El tiempo de entrega"
"Delivery Date &amp; Time","Fecha de entrega y amperios; Hora"
Main,Principal
"Show for all shipping methods","Mostrar para todos los métodos de envío"
"Date Field Settings","Configuración de campo de fecha"
"Field Label","Etiqueta de campo"
"Show Field","Mostrar campo"
"Use first avilable date as default value","Use la primera fecha disponible como valor predeterminado"
"Date format","Formato de fecha"
"Leave empty to use active locale format.","Deje en blanco para usar el formato de configuración regional activo."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l, j F, Y - Domingo 4 de octubre de 2018 </strong> <br/> l - Una representación textual completa del día de la semana <br/> j - Día del mes sin ceros a la izquierda < br /> F - Una representación textual completa de un mes, como enero o marzo <br/> Y - Una representación numérica completa de un año, 4 dígitos <br/> <br/> <strong> m / d / Y - 10/04/2018 </strong> <br/> m - Representación numérica de un mes, con ceros a la izquierda <br/> d - Día del mes, 2 dígitos con ceros a la izquierda <br/> Y - Un número completo representación de un año, 4 dígitos"
"Time Field Settings","Configuraciones de campo de tiempo"
"Time Options","Opciones de tiempo"
"Add Time Entry","Agregar entrada de tiempo"
"First available delivery date rules","Primeras reglas de fecha de entrega disponibles"
"Delivery processing day ends at","El día de procesamiento de entrega finaliza a las"
"Delivery will be available since first available day (order date) plus this value","La entrega estará disponible desde el primer día disponible (fecha de pedido) más este valor"
"Last available delivery date rules","Últimas reglas de fecha de entrega disponibles"
"Period in days, while delivery will be available, since first available day","Período en días, mientras que la entrega estará disponible, desde el primer día disponible"
"Exclude delivery date rules","Excluir reglas de fecha de entrega"
"Exclude days of week from delivery","Excluir días de la semana desde la entrega"
Holidays,"Días festivos"
Offset,Compensar
"Add Holiday","Agregar vacaciones"
"Delivery Time is required","Se requiere tiempo de entrega"
"Delivery Date is required","Se requiere fecha de entrega"
"Invalid Delivery Time value","Valor de tiempo de entrega no válido"
