"Delivery Date","Date de livraison"
"Delivery Time","Heure de livraison"
"Delivery Date &amp; Time","Date de livraison & amp; Temps"
Main,Principale
"Show for all shipping methods","Afficher pour toutes les méthodes d'expédition"
"Date Field Settings","Paramètres du champ de date"
"Field Label","Étiquette de champ"
"Show Field","Afficher le champ"
"Use first avilable date as default value","Utiliser la première date disponible comme valeur par défaut"
"Date format","Format de date"
"Leave empty to use active locale format.","Laissez vide pour utiliser le format de paramètres régionaux actif."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l, j F, Y - dimanche 4 octobre 2018 </strong> <br/> l - une représentation textuelle complète du jour de la semaine <br/> j - jour du mois sans zéros de tête < br /> F - Une représentation textuelle complète d'un mois, comme janvier ou mars <br/> Y - Une représentation numérique complète d'une année, 4 chiffres <br/> <br/> <strong> m / j / Y - 10/04/2018 </strong> <br/> m - Représentation numérique d'un mois, avec des zéros en tête <br/> d - Jour du mois, 2 chiffres avec des zéros en tête <br/> Y - Un numérique complet représentation d'une année, 4 chiffres"
"Time Field Settings","Paramètres de champ horaire"
"Time Options","Options de temps"
"Add Time Entry","Ajouter une entrée de temps"
"First available delivery date rules","Premières règles de date de livraison disponibles"
"Delivery processing day ends at","Le jour de traitement de la livraison se termine à"
"Delivery will be available since first available day (order date) plus this value","La livraison sera disponible depuis le premier jour disponible (date de commande) plus cette valeur"
"Last available delivery date rules","Dernières règles de date de livraison disponibles"
"Period in days, while delivery will be available, since first available day","Période en jours, alors que la livraison sera disponible, depuis le premier jour disponible"
"Exclude delivery date rules","Exclure les règles de date de livraison"
"Exclude days of week from delivery","Exclure les jours de la semaine de la livraison"
Holidays,Vacances
Offset,Décalage
"Add Holiday","Ajouter des vacances"
"Delivery Time is required","Le délai de livraison est requis"
"Delivery Date is required","La date de livraison est obligatoire"
"Invalid Delivery Time value","Valeur de délai de livraison non valide"
