"Delivery Date","תאריך משלוח"
"Delivery Time","זמן משלוח"
"Delivery Date &amp; Time","תאריך אספקה & amp; זמן"
Main,עיקרי
"Show for all shipping methods","הצג לכל שיטות המשלוח"
"Date Field Settings","הגדרות שדה תאריך"
"Field Label","תווית שדה"
"Show Field","שדה מופע"
"Use first avilable date as default value","השתמש בתאריך העומד הראשון כערך ברירת מחדל"
"Date format","פורמט תאריך"
"Leave empty to use active locale format.","השאר ריק כדי להשתמש בפורמט מקומי פעיל."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l, j F, Y - ראשון, 4 באוקטובר, 2018 </ strong> <br/> l - ייצוג טקסטואלי מלא של יום השבוע <br/> j - יום החודש ללא אפסים מובילים < br /> F - ייצוג טקסטואלי מלא של חודש, כגון ינואר או מרץ. <br/> Y - ייצוג מספרי מלא של שנה, 4 ספרות <br/> <br/> <strong> m / d / Y - 10/04/2018 </ strong> <br/> מ - ייצוג מספרי של חודש, עם אפסים מובילים <br/> ד - יום החודש, 2 ספרות עם אפסים מובילים <br/> Y - מספרי מלא ייצוג של שנה, 4 ספרות"
"Time Field Settings","הגדרות שדה זמן"
"Time Options","אפשרויות זמן"
"Add Time Entry","הוסף הזנת זמן"
"First available delivery date rules","כללי תאריך האספקה הראשונים הזמינים"
"Delivery processing day ends at","יום עיבוד המסירה מסתיים בשעה"
"Delivery will be available since first available day (order date) plus this value","המסירה תהיה זמינה מאז היום הזמין הראשון (תאריך ההזמנה) בתוספת ערך זה"
"Last available delivery date rules","כללי תאריך האספקה האחרונים הזמינים"
"Period in days, while delivery will be available, since first available day","תקופה בימים, בעוד המסירה תהיה זמינה, מאז היום הזמין הראשון"
"Exclude delivery date rules","אל תכלול כללי תאריך אספקה"
"Exclude days of week from delivery","אל תכלול ימי שבוע מהלידה"
Holidays,חגים
Offset,קיזוז
"Add Holiday","הוסף חג"
"Delivery Time is required","זמן אספקה נדרש"
"Delivery Date is required","נדרש תאריך אספקה"
"Invalid Delivery Time value","ערך זמן אספקה לא חוקי"
