"Delivery Date","Data di consegna"
"Delivery Time","Tempo di consegna"
"Delivery Date &amp; Time","Data di consegna e amp; Tempo"
Main,Principale
"Show for all shipping methods","Mostra per tutti i metodi di spedizione"
"Date Field Settings","Impostazioni campo data"
"Field Label","Etichetta sul campo"
"Show Field","Mostra campo"
"Use first avilable date as default value","Usa la prima data disponibile come valore predefinito"
"Date format","Formato data"
"Leave empty to use active locale format.","Lascia vuoto per utilizzare il formato locale attivo."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l, j F, Y - domenica 4 ottobre, 2018 </strong> <br/> l - Una rappresentazione testuale completa del giorno della settimana <br/> j - Il giorno del mese senza zeri iniziali < br /> F - Una rappresentazione testuale completa di un mese, come gennaio o marzo <br/> Y - Una rappresentazione numerica completa di un anno, 4 cifre <br/> <br/> <strong> m / d / Y - 10/04/2018 </strong> <br/> m - Rappresentazione numerica di un mese, con zeri iniziali <br/> d - Giorno del mese, 2 cifre con zeri iniziali <br/> Y - Un numero completo rappresentazione di un anno, 4 cifre"
"Time Field Settings","Impostazioni campo orario"
"Time Options","Opzioni temporali"
"Add Time Entry","Aggiungi ora"
"First available delivery date rules","Prime regole per la data di consegna disponibili"
"Delivery processing day ends at","Il giorno di elaborazione della consegna termina alle"
"Delivery will be available since first available day (order date) plus this value","La consegna sarà disponibile dal primo giorno disponibile (data ordine) più questo valore"
"Last available delivery date rules","Ultime regole sulla data di consegna disponibili"
"Period in days, while delivery will be available, since first available day","Periodo in giorni, mentre la consegna sarà disponibile, dal primo giorno disponibile"
"Exclude delivery date rules","Escludere le regole della data di consegna"
"Exclude days of week from delivery","Escludere i giorni della settimana dalla consegna"
Holidays,Vacanze
Offset,Compensare
"Add Holiday","Aggiungi festività"
"Delivery Time is required","È richiesto il tempo di consegna"
"Delivery Date is required","Data di consegna obbligatoria"
"Invalid Delivery Time value","Valore del tempo di consegna non valido"
