"Delivery Date","배송 일자"
"Delivery Time","배달 시간"
"Delivery Date &amp; Time","배송 날짜 & amp; 시각"
Main,본관
"Show for all shipping methods","모든 배송 방법에 대해 표시"
"Date Field Settings","날짜 필드 설정"
"Field Label","필드 레이블"
"Show Field","필드 표시"
"Use first avilable date as default value","첫 번째 유효 날짜를 기본값으로 사용"
"Date format","날짜 형식"
"Leave empty to use active locale format.","활성 로케일 형식을 사용하려면 비워 두십시오."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l, j F, Y-2018 년 10 월 4 일 일요일 </ strong> <br/> l-요일에 대한 전체 텍스트 표현 <br/> j-선행 0이없는 달의 일 < br /> F-1 월 또는 3 월과 같은 월의 전체 텍스트 표현 <br/> Y-1 년 전체 숫자 표현, 4 자리 숫자 <br/> <br/> <strong> m / d / Y -2018 년 10 월 4 일 </ strong> <br/> m-앞에 0이있는 한 달의 숫자 표현 <br/> d-달에 0이있는 두 자리 <br/> Y-전체 숫자 연도 표시, 4 자리"
"Time Field Settings","시간 필드 설정"
"Time Options","시간 옵션"
"Add Time Entry","시간 입력 추가"
"First available delivery date rules","사용 가능한 첫 배달 날짜 규칙"
"Delivery processing day ends at","배송 처리 일은"
"Delivery will be available since first available day (order date) plus this value","사용 가능한 첫날 (주문 날짜)에이 값을 더한 값부터 배송이 가능합니다."
"Last available delivery date rules","사용 가능한 마지막 배달 날짜 규칙"
"Period in days, while delivery will be available, since first available day","첫날부터 배달이 가능한 동안 며칠의 기간"
"Exclude delivery date rules","배송 날짜 규칙 제외"
"Exclude days of week from delivery","배송에서 요일 제외"
Holidays,휴가
Offset,오프셋
"Add Holiday","휴일 추가"
"Delivery Time is required","배달 시간이 필요합니다"
"Delivery Date is required","배달 날짜가 필요합니다"
"Invalid Delivery Time value","잘못된 배송 시간 값"
