"Delivery Date","Data dostarczenia"
"Delivery Time","Czas dostawy"
"Delivery Date &amp; Time","Data dostawy i amp; Czas"
Main,Główny
"Show for all shipping methods","Pokaż wszystkie metody wysyłki"
"Date Field Settings","Ustawienia pola daty"
"Field Label","Etykieta pola"
"Show Field","Pokaż pole"
"Use first avilable date as default value","Użyj pierwszej dostępnej daty jako wartości domyślnej"
"Date format","Format daty"
"Leave empty to use active locale format.","Pozostaw puste, aby użyć aktywnego formatu ustawień regionalnych."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l, j F, Y - niedziela, 4 października 2018 r. </strong> <br/> l - Pełna reprezentacja tekstowa dnia tygodnia <br/> j - Dzień miesiąca bez zer wiodących < br /> F - Pełna tekstowa reprezentacja miesiąca, np. styczeń lub marzec <br/> Y - Pełna numeryczna reprezentacja roku, 4 cyfry <br/> <br/> <strong> m / d / Y - 10/04/2018 </strong> <br/> m - Numeryczna reprezentacja miesiąca z wiodącymi zerami <br/> d - Dzień miesiąca, 2 cyfry z wiodącymi zerami <br/> Y - Pełna liczba przedstawienie roku, 4 cyfry"
"Time Field Settings","Ustawienia pola czasu"
"Time Options","Opcje czasu"
"Add Time Entry","Dodaj wpis czasu"
"First available delivery date rules","Zasady pierwszej dostępnej daty dostawy"
"Delivery processing day ends at","Termin realizacji dostawy kończy się o godz"
"Delivery will be available since first available day (order date) plus this value","Dostawa będzie dostępna od pierwszego dostępnego dnia (data zamówienia) plus ta wartość"
"Last available delivery date rules","Reguły ostatniej dostępnej daty dostawy"
"Period in days, while delivery will be available, since first available day","Okres w dniach, a dostawa będzie dostępna od pierwszego dostępnego dnia"
"Exclude delivery date rules","Wyklucz reguły dotyczące dat dostawy"
"Exclude days of week from delivery","Wyklucz dni tygodnia z dostawy"
Holidays,Wakacje
Offset,Offsetowy
"Add Holiday","Dodaj wakacje"
"Delivery Time is required","Czas dostawy jest wymagany"
"Delivery Date is required","Wymagana jest data dostawy"
"Invalid Delivery Time value","Nieprawidłowa wartość czasu dostawy"
