"Delivery Date","Data de entrega"
"Delivery Time","Tempo de entrega"
"Delivery Date &amp; Time","Data de entrega & amp; Tempo"
Main,"a Principal"
"Show for all shipping methods","Mostrar para todos os métodos de envio"
"Date Field Settings","Configurações do campo de data"
"Field Label","Legenda do campo"
"Show Field","Mostrar campo"
"Use first avilable date as default value","Use a primeira data disponível como valor padrão"
"Date format","Formato de data"
"Leave empty to use active locale format.","Deixe em branco para usar o formato de localidade ativo."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l, j F, Y - domingo, 4 de outubro de 2018 </strong> <br/> l - Uma representação textual completa do dia da semana <br/> j - Dia do mês sem zeros à esquerda < br /> F - Uma representação textual completa de um mês, como janeiro ou março <br/> Y - Uma representação numérica completa de um ano, 4 dígitos <br/> <br/> <strong> m / d / Y - 10/04/2018 </strong> <br/> m - Representação numérica de um mês, com zeros à esquerda <br/> d - Dia do mês, 2 dígitos com zeros à frente <br/> Y - Um número completo representação de um ano, 4 dígitos"
"Time Field Settings","Configurações do campo de tempo"
"Time Options","Opções de tempo"
"Add Time Entry","Adicionar entrada de horário"
"First available delivery date rules","Regras da primeira data de entrega disponíveis"
"Delivery processing day ends at","O dia de processamento da entrega termina às"
"Delivery will be available since first available day (order date) plus this value","A entrega estará disponível desde o primeiro dia disponível (data do pedido) mais esse valor"
"Last available delivery date rules","Regras da última data de entrega disponíveis"
"Period in days, while delivery will be available, since first available day","Período em dias, enquanto a entrega estará disponível, desde o primeiro dia disponível"
"Exclude delivery date rules","Excluir regras de data de entrega"
"Exclude days of week from delivery","Excluir dias da semana da entrega"
Holidays,Feriados
Offset,Deslocamento
"Add Holiday","Adicionar feriado"
"Delivery Time is required","Tempo de entrega é necessário"
"Delivery Date is required","A data de entrega é obrigatória"
"Invalid Delivery Time value","Valor de tempo de entrega inválido"
