"Delivery Date","Дата доставки"
"Delivery Time","Время доставки"
"Delivery Date &amp; Time","Дата и Время доставки"
Main,Основной
"Show for all shipping methods","Показать для всех способов доставки"
"Date Field Settings","Настройки поля даты"
"Field Label","Название поля"
"Show Field","Показать поле"
"Use first avilable date as default value","Использовать первую доступную дату в качестве значения по умолчанию"
"Date format","Формат даты"
"Leave empty to use active locale format.","Оставьте пустым, чтобы использовать формат по-умолчанию."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong>l, j F, Y - воскресенье, 4 октября 2018 года</strong><br/>l - полное текстовое представление дня недели<br/>j - день месяца без начальных нулей<br/>F - полное текстовое представление месяца, например, январь или март<br/>Y - полное числовое представление года, 4 цифры<br/><br/><strong> m/d/Y - 10/04/2018</strong><br/>m - числовое представление месяца с ведущими нулями<br/>d - день месяца, 2 цифры с ведущими нулями<br/>Y - полное числовое представление года, 4 цифры"
"Time Field Settings","Настройки поля времени"
"Time Options","Варианты времени"
"Add Time Entry","Добавить запись времени"
"First available delivery date rules","Правила для первой доступной дате доставки"
"Delivery processing day ends at","День обработки доставки заканчивается в"
"Delivery will be available since first available day (order date) plus this value","Доставка будет доступна с первого доступного дня (дата заказа) плюс это значение"
"Last available delivery date rules","Правила для последней доступной даты доставки"
"Period in days, while delivery will be available, since first available day","Период в днях, пока доставка будет доступна, начиная с первого доступного дня"
"Exclude delivery date rules","Правила для исключения дат доставки"
"Exclude days of week from delivery","Исключить дни недели из доставки"
Holidays,Праздники
Offset,Сдвиг
"Add Holiday","Добавить праздник"
"Delivery Time is required","Время доставки обязательное"
"Delivery Date is required","Дата доставки обязательная"
"Invalid Delivery Time value","Неверное значение времени доставки"
