"Delivery Date","Дата доставки"
"Delivery Time","Час доставки"
"Delivery Date &amp; Time","Дата і час доставки"
Main,Основні
"Show for all shipping methods","Показувати для всіх способів доставки"
"Date Field Settings","Налаштування дати"
"Field Label","Назва поля"
"Show Field","Показувати поле"
"Use first avilable date as default value","Використовувати першу доступну дату як значення за замовчуванням"
"Date format","Формат дати"
"Leave empty to use active locale format.","Залиште порожнім, щоб використовувати формат за замовчуванням."
"<strong>l, j F, Y - Sunday, 4 October, 2018</strong><br/>l - A full textual representation of the day of the week<br/>j - Day of the month without leading zeros<br/>F - A full textual representation of a month, such as January or March<br/>Y - A full numeric representation of a year, 4 digits<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Numeric representation of a month, with leading zeros<br/>d - Day of the month, 2 digits with leading zeros<br/>Y - A full numeric representation of a year, 4 digits","<strong> l, j F, Y - неділя, 4 жовтня 2018 року </strong><br/>l - повне текстове зображення дня тижня<br/>j - день місяця<br/>F - Повне текстове зображення місяця, наприклад січень чи березень<br/>Y - Повне числове представлення року, 4 цифри<br/><br/><strong>m/d/Y - 10/04/2018</strong><br/>m - Числове представлення місяця<br/>d - День місяця, 2 цифри<br/>Y - Повне числове представлення року, 4 цифри"
"Time Field Settings","Налаштування часу"
"Time Options","Параметри часу"
"Add Time Entry","Додати часовий проміжок"
"First available delivery date rules","Правила для першої доступної дати доставки"
"Delivery processing day ends at","День обробки доставки закінчується о"
"Delivery will be available since first available day (order date) plus this value","Доставка буде доступною з першого дня (дата замовлення) плюс це значення"
"Last available delivery date rules","Правила для останньої доступної дати доставки"
"Period in days, while delivery will be available, since first available day","Кількість днів поки доставка буде доступна, починаючи з першого доступного дня"
"Exclude delivery date rules","Правила для виключення дат доставки"
"Exclude days of week from delivery","Недоступні для вибору дні тижня"
Holidays,Свята
Offset,Зсув
"Add Holiday","Додати свято"
"Delivery Time is required","Час доставки обов'язковий"
"Delivery Date is required","Дата доставки обов'язкова"
"Invalid Delivery Time value","Недійсне значення часу доставки"
