"Save Field","Save Field"
"Delete Field","Delete Field"
"Edit Field '%1'","Edit Field '%1'"
"New Field","New Field"
"Advanced Field Properties","Advanced Field Properties"
"Show on Storefront","Show on Storefront"
"Show In Forms","Show In Forms"
"Field Properties","Field Properties"
"Field Information","Field Information"
"You cannot delete this field.","You cannot delete this field."
"Field was deleted.","Field was deleted."
"Can't find a field to delete.","Can't find a field to delete."
"This field no longer exists.","This field no longer exists."
"You cannot edit this attribute.","You cannot edit this attribute."
"You saved the field.","You saved the field."
"An field with this code already exists.","An field with this code already exists."
"An field with the same code (%1) already exists.","An field with the same code (%1) already exists."
"Customer Address Registration","Customer Address Registration"
"Customer Account Address","Customer Account Address"
"Customer Registration","Customer Registration"
"Customer Account Edit","Customer Account Edit"
"Admin Checkout","Admin Checkout"
"Name must be required.","Name must be required."
"Country must be visible to keep Magento working.","Country must be visible to keep Magento working."
"Use ""Stores > Configuration > General > State"" to change region field status","Use ""Stores > Configuration > General > State"" to change region field status"
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","Use ""Stores > Configuration > General > Country Options"" to change postcode status"
"Email must be required.","Email must be required."
"Website_id must be required.","Website_id must be required."
"Group_id must be required.","Group_id must be required."
"Remove website overrides","Remove website overrides"
