"Save Field","Salva campo"
"Delete Field","Elimina campo"
"Edit Field '%1'","Modifica campo '%1'"
"New Field","Nuovo campo"
"Advanced Field Properties","Proprietà avanzate del campo"
"Show on Storefront","Mostra su Storefront"
"Show In Forms","Mostra nei moduli"
"Field Properties","Proprietà campo"
"Field Information","Informazioni sul campo"
"You cannot delete this field.","Non è possibile eliminare questo campo."
"Field was deleted.","Il campo è stato cancellato"
"Can't find a field to delete.","Impossibile trovare un campo da eliminare."
"This field no longer exists.","Questo campo non esiste più."
"You cannot edit this attribute.","Non è possibile modificare questo attributo."
"You saved the field.","Hai salvato il campo."
"An field with this code already exists.","Un campo con questo codice esiste già."
"An field with the same code (%1) already exists.","Un campo con lo stesso codice (%1) esiste già."
"Customer Address Registration","Registrazione dell'indirizzo del cliente"
"Customer Account Address","Indirizzo dell'account cliente"
"Customer Registration","Registrazione del cliente"
"Customer Account Edit","Modifica account cliente"
"Admin Checkout","Admin Checkout"
"Name must be required.","Il nome deve essere richiesto."
"Country must be visible to keep Magento working.","Il Paese deve essere visibile per far funzionare Magento."
"Use ""Stores > Configuration > General > State"" to change region field status","Utilizzare ""Negozi> Configurazione> Generale> Stato"" per modificare lo stato del campo della regione"
"Use ""Stores > Configuration > General > Country Options"" to change postcode status","Utilizza ""Negozi> Configurazione> Generale> Opzioni Paese"" per modificare lo stato del codice postale"
"Email must be required.","Email deve essere richiesta."
"Website_id must be required.","Website_id deve essere richiesto."
"Group_id must be required.","Group_id deve essere richiesto."
"Remove website overrides","Rimuovi sostituzioni di siti Web"
