"Url Path","Ruta url"
"After Adding a Product Redirect to Firecheckout","Después de agregar un producto Redirigir a Firecheckout"
"Page Layout","Diseño de página"
"Form Styles","Estilos de formulario"
"Use field placeholders instead of labels","Use marcadores de posición de campo en lugar de etiquetas"
"Show field errors and notices in the Tooltips","Mostrar errores de campo y avisos en la información sobre herramientas"
"Additional Content","Contenido adicional"
"Above Firecheckout Form","Formulario de comprobación de incendios por encima"
"Below Firecheckout Form","Debajo del formulario Firecheckout"
"Below order summary (Above place order button)","Debajo del resumen del pedido (botón del pedido por encima del lugar)"
"Below place order button","Debajo del botón de orden de lugar"
"Intro Popup","Ventana emergente de introducción"
"Content for Guest Customers","Contenido para clientes invitados"
"Content for Registered Customers","Contenido para clientes registrados"
"Default Method","Método predeterminado"
"Default Method Code","Código de método predeterminado"
"Use this field if you can't find the method you are looking for in the previous option","Use este campo si no puede encontrar el método que está buscando en la opción anterior"
"Hide methods if single method is available only","Ocultar métodos si solo hay un método disponible"
"Payment Settings","Configuraciones de pago"
"Show Billing Address Title","Mostrar título de dirección de facturación"
"This option is not used when Billing Address displayed inside Payment Method","Esta opción no se utiliza cuando se muestra la dirección de facturación dentro del método de pago"
"Horizontal (Label aside of the field)","Horizontal (etiqueta a un lado del campo)"
"Basic (Same as horizontal, except label above the field)","Básico (igual que horizontal, excepto la etiqueta sobre el campo)"
"Compact (Multiple fields per row)","Compacto (múltiples campos por fila)"
"1 Column (Multistep Wizard)","1 columna (asistente de varios pasos)"
"1 Column (Expanded)","1 columna (expandida)"
"2 Columns (Wide Payment and Shipping sections)","2 columnas (secciones amplias de pago y envío)"
"2 Columns (Place Payment and Shipping sections side by side)","2 columnas (coloque las secciones de pago y envío una al lado de la otra)"
"3 Columns","3 columnas"
"Default Checkout Layout","Diseño de pago predeterminado"
"Empty (No Header and Footer)","Vacío (sin encabezado y pie de página)"
"Minimal (Header with store Logo only)","Mínimo (encabezado con logotipo de la tienda solamente)"
Full,Lleno
"Back to Store","De vuelta a la tienda"
"Continue Shopping","Seguir comprando"
"Firecheckout Page Header Container","Contenedor de encabezado de página Firecheckout"
"Firecheckout Page Header","Encabezado de página de Firecheckout"
"Please specify a shipping method.","Por favor especifíque un método de envío."
"Please specify a payment method.","Por favor, especifique un método de pago."
Cart,Carro
"Use Magento Config (Sales > Checkout > Checkout Options)","Utilice la configuración de Magento (Ventas> Pago> Opciones de pago)"
"Payment Page (Above Payment Methods)","Página de pago (métodos de pago anteriores)"
"Shipping Page (Below Shipping Address)","Página de envío (debajo de la dirección de envío)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Es posible que algunos módulos de terceros no funcionen correctamente con una posición de dirección personalizada. En este caso, seleccione la opción 'Usar configuración de Magento' por favor."
"Order Summary Settings","Configuración de resumen de pedido"
"Show Order Review (Shipping Information)","Mostrar revisión de pedido (información de envío)"
"Useful for EU countries","Útil para los países de la UE."
"Leave empty to add review without the title","Dejar en blanco para agregar una reseña sin el título"
"Custom CSS and JS","CSS personalizado y JS"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","¡Use menos sintaxis y variables para cambiar estilos!<br/>Vea la lista de variables disponibles: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Documentos de Firecheckout"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Debe ejecutar el comando `setup:static-content:deploy` para ver el cambios."
Performance,Actuación
"Use jsBuild","Utilice jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Combine archivos js en un solo jsbuild para reducir el número de solicitudes y mejorar el tiempo de carga de la página."
"jsBuild include paths","jsBuild incluye rutas"
