"Url Path","נתיב כתובת אתר"
"After Adding a Product Redirect to Firecheckout","לאחר הוספת הפניה מחדש של מוצר לסימון האש"
"Page Layout","פריסת דף"
"Form Styles","סגנונות טופס"
"Use field placeholders instead of labels","השתמש ב מצייני מיקום בשדה במקום בתוויות"
"Show field errors and notices in the Tooltips","הצג שגיאות והודעות שדה בהקלות הכלים"
"Additional Content","תוכן נוסף"
"Above Firecheckout Form","מעל טופס בדיקת האש"
"Below Firecheckout Form","מתחת לטופס בדיקת האש"
"Below order summary (Above place order button)","מתחת לסיכום ההזמנה (כפתור הזמנת מקום למעלה)"
"Below place order button","מתחת לכפתור הזמנת המקום"
"Intro Popup","קופץ מבוא"
"Content for Guest Customers","תוכן ללקוחות אורחים"
"Content for Registered Customers","תוכן ללקוחות רשומים"
"Default Method","שיטת ברירת מחדל"
"Default Method Code","קוד שיטת ברירת מחדל"
"Use this field if you can't find the method you are looking for in the previous option","השתמש בשדה זה אם אינך מצליח למצוא את השיטה שאתה מחפש באפשרות הקודמת"
"Hide methods if single method is available only","הסתר שיטות אם שיטה יחידה זמינה בלבד"
"Payment Settings","הגדרות תשלום"
"Show Billing Address Title","הצג כותרת כתובת לחיוב"
"This option is not used when Billing Address displayed inside Payment Method","אפשרות זו אינה משמשת כאשר כתובת חיוב מוצגת בשיטת התשלום"
"Horizontal (Label aside of the field)","אופקי (תווית בצד השדה)"
"Basic (Same as horizontal, except label above the field)","בסיסי (זהה לאופקית, למעט תווית מעל השדה)"
"Compact (Multiple fields per row)","קומפקטי (שדות מרובים בשורה)"
"1 Column (Multistep Wizard)","טור 1 (אשף רב-שלבי)"
"1 Column (Expanded)","טור 1 (מורחב)"
"2 Columns (Wide Payment and Shipping sections)","2 עמודות (קטעי תשלום ומשלוח רחב)"
"2 Columns (Place Payment and Shipping sections side by side)","2 עמודות (מקם חלקי תשלום ומשלוח זה לצד זה)"
"3 Columns","3 עמודות"
"Default Checkout Layout","פריסת ברירת המחדל של Checkout"
"Empty (No Header and Footer)","ריק (ללא כותרת עליונה ותחתונה)"
"Minimal (Header with store Logo only)","מינימלי (כותרת עם לוגו בחנות בלבד)"
Full,מלא
"Back to Store","חזרה לחנות"
"Continue Shopping","המשך בקניות"
"Firecheckout Page Header Container","מיכל כותרות לדף האש"
"Firecheckout Page Header","כותרת עמוד עמוד האש"
"Please specify a shipping method.","אנא ציין שיטת משלוח."
"Please specify a payment method.","אנא ציין אמצעי תשלום."
Cart,עגלה
"Use Magento Config (Sales > Checkout > Checkout Options)","השתמש ב- Magento Config (מכירות> קופה> אפשרויות לקופה)"
"Payment Page (Above Payment Methods)","דף תשלום (מעל אמצעי תשלום)"
"Shipping Page (Below Shipping Address)","דף משלוח (מתחת לכתובת המשלוח)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","יתכן שחלק מהמודולים של צד שלישי אינם עובדים כראוי עם מיקום כתובת מותאם אישית. במקרה זה, בחר באפשרות 'השתמש במג'נטו קונפיג' בבקשה."
"Order Summary Settings","הגדרות סיכום הזמנה"
"Show Order Review (Shipping Information)","הצג ביקורת הזמנה (מידע למשלוח)"
"Useful for EU countries","שימושי עבור מדינות האיחוד האירופי"
"Leave empty to add review without the title","השאר ריק כדי להוסיף ביקורת ללא הכותרת"
"Custom CSS and JS","CSS ו- JS מותאמים אישית"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","השתמש בפחות תחביר ומשתנים כדי לשנות סגנונות!<br/>עיין ברשימת המשתנים הזמינים: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""מסמכי Firecheckout"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>עליך להריץ את הפקודה `setup:static-content:deploy` כדי לראות את הפקודה משתנה."
Performance,ביצועים
"Use jsBuild","השתמש ב- jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","שלב קבצי js לתוך jsbuild יחיד כדי לצמצם את מספר הבקשות ולשפר את זמן טעינת העמודים."
"jsBuild include paths","jsBuild כולל נתיבים"
