"Url Path","Percorso URL"
"After Adding a Product Redirect to Firecheckout","Dopo aver aggiunto un reindirizzamento del prodotto a Firecheckout"
"Page Layout","Layout di pagina"
"Form Styles","Stili di forma"
"Use field placeholders instead of labels","Utilizzare i segnaposto di campo anziché le etichette"
"Show field errors and notices in the Tooltips","Mostra errori di campo e avvisi nella descrizione comandi"
"Additional Content","Contenuto aggiuntivo"
"Above Firecheckout Form","Sopra il modulo Firecheckout"
"Below Firecheckout Form","Sotto il modulo Firecheckout"
"Below order summary (Above place order button)","Riepilogo ordine sottostante (pulsante Ordine sopra il luogo)"
"Below place order button","Sotto il pulsante ordine posto"
"Intro Popup","Intro Popup"
"Content for Guest Customers","Contenuto per i clienti ospiti"
"Content for Registered Customers","Contenuto per i clienti registrati"
"Default Method","Metodo predefinito"
"Default Method Code","Codice metodo predefinito"
"Use this field if you can't find the method you are looking for in the previous option","Utilizza questo campo se non riesci a trovare il metodo che stai cercando nell'opzione precedente"
"Hide methods if single method is available only","Nascondi i metodi se è disponibile solo un metodo"
"Payment Settings","Impostazioni di pagamento"
"Show Billing Address Title","Mostra titolo indirizzo di fatturazione"
"This option is not used when Billing Address displayed inside Payment Method","Questa opzione non viene utilizzata quando l'indirizzo di fatturazione è visualizzato all'interno del Metodo di pagamento"
"Horizontal (Label aside of the field)","Orizzontale (etichetta a parte del campo)"
"Basic (Same as horizontal, except label above the field)","Base (uguale all'orizzontale, tranne l'etichetta sopra il campo)"
"Compact (Multiple fields per row)","Compatto (più campi per riga)"
"1 Column (Multistep Wizard)","1 colonna (procedura guidata a più fasi)"
"1 Column (Expanded)","1 colonna (espansa)"
"2 Columns (Wide Payment and Shipping sections)","2 colonne (ampie sezioni di pagamento e spedizione)"
"2 Columns (Place Payment and Shipping sections side by side)","2 colonne (affianca le sezioni Pagamento e Spedizione)"
"3 Columns","3 colonne"
"Default Checkout Layout","Layout di pagamento predefinito"
"Empty (No Header and Footer)","Vuoto (nessuna intestazione e piè di pagina)"
"Minimal (Header with store Logo only)","Minimo (solo intestazione con logo del negozio)"
Full,Pieno
"Back to Store","Torna allo Store"
"Continue Shopping","Continua a fare acquisti"
"Firecheckout Page Header Container","Contenitore intestazione pagina Firecheckout"
"Firecheckout Page Header","Intestazione di pagina Firecheckout"
"Please specify a shipping method.","Si prega di specificare un metodo di spedizione."
"Please specify a payment method.","Si prega di specificare un metodo di pagamento."
Cart,Carrello
"Use Magento Config (Sales > Checkout > Checkout Options)","Usa Magento Config (Vendite> Cassa> Opzioni cassa)"
"Payment Page (Above Payment Methods)","Pagina di pagamento (sopra i metodi di pagamento)"
"Shipping Page (Below Shipping Address)","Pagina di spedizione (sotto l'indirizzo di spedizione)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Alcuni moduli di terze parti potrebbero non funzionare correttamente con la posizione dell'indirizzo personalizzata. In questo caso, selezionare l'opzione ""Usa configurazione Magento"" per favore."
"Order Summary Settings","Impostazioni riepilogo ordine"
"Show Order Review (Shipping Information)","Mostra revisione ordine (informazioni sulla spedizione)"
"Useful for EU countries","Utile per i paesi dell'UE"
"Leave empty to add review without the title","Lascia vuoto per aggiungere la recensione senza il titolo"
"Custom CSS and JS","CSS e JS personalizzati"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Usa meno sintassi e variabili per cambiare stile!<br/>Vedi l'elenco delle variabili disponibili: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Devi eseguire il comando `setup:static-content:deploy` per vedere il comando i cambiamenti."
Performance,Prestazione
"Use jsBuild","Usa jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Combina i file js in un singolo jsbuild per ridurre il numero di richieste e migliorare il tempo di caricamento della pagina."
"jsBuild include paths","jsBuild include percorsi"
