"Url Path",Nettadresse
"After Adding a Product Redirect to Firecheckout","Etter å ha lagt til en produktdirigering til Firecheckout"
"Page Layout",Sideoppsettet
"Form Styles","Form stiler"
"Use field placeholders instead of labels","Bruk feltplassholdere i stedet for etiketter"
"Show field errors and notices in the Tooltips","Vis feltfeil og merknader i verktøytipsene"
"Additional Content",Tilleggsinnhold
"Above Firecheckout Form","Over skjema for brannsjekk"
"Below Firecheckout Form","Under skjema for brannsjekk"
"Below order summary (Above place order button)","Under ordre sammendrag (knappen over bestillinger for sted)"
"Below place order button","Under ordre-knapp"
"Intro Popup","Intro Popup"
"Content for Guest Customers","Innhold for gjestekunder"
"Content for Registered Customers","Innhold for registrerte kunder"
"Default Method","Standard metode"
"Default Method Code","Standard metodekode"
"Use this field if you can't find the method you are looking for in the previous option","Bruk dette feltet hvis du ikke finner metoden du leter etter i forrige alternativ"
"Hide methods if single method is available only","Skjul metoder hvis en enkelt metode bare er tilgjengelig"
"Payment Settings",Betalingsinnstillinger
"Show Billing Address Title","Vis faktureringsadressetittel"
"This option is not used when Billing Address displayed inside Payment Method","Dette alternativet brukes ikke når faktureringsadresse vises i betalingsmetoden"
"Horizontal (Label aside of the field)","Horisontalt (Etikett til side av feltet)"
"Basic (Same as horizontal, except label above the field)","Grunnleggende (Samme som vannrett, bortsett fra etikett over feltet)"
"Compact (Multiple fields per row)","Kompakt (Flere felt per rad)"
"1 Column (Multistep Wizard)","1 kolonne (veiviseren for flere trinn)"
"1 Column (Expanded)","1 kolonne (utvidet)"
"2 Columns (Wide Payment and Shipping sections)","2 kolonner (seksjoner med bred betaling og forsendelse)"
"2 Columns (Place Payment and Shipping sections side by side)","2 kolonner (plasser betalings- og forsendelseseksjoner side om side)"
"3 Columns","3 kolonner"
"Default Checkout Layout","Standard utsjekking"
"Empty (No Header and Footer)","Tom (Ingen topptekst og bunntekst)"
"Minimal (Header with store Logo only)","Minimal (Header with store Logo)"
Full,Full
"Back to Store","Tilbake til butikken"
"Continue Shopping","Fortsette å handle"
"Firecheckout Page Header Container","Brannutsjekking Sidehode beholder"
"Firecheckout Page Header","Firecheckout Page Header"
"Please specify a shipping method.","Vennligst spesifiser en leveringsmetode."
"Please specify a payment method.","Vennligst spesifiser en betalingsmetode."
Cart,kurven
"Use Magento Config (Sales > Checkout > Checkout Options)","Bruk Magento Config (Salg> Kasse> Kassealternativer)"
"Payment Page (Above Payment Methods)","Betalingsside (over betalingsmetoder)"
"Shipping Page (Below Shipping Address)","Fraktside (nedenfor leveringsadresse)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Noen tredjepartsmoduler fungerer kanskje ikke riktig med tilpasset adresseplassering. I dette tilfellet, velg alternativet 'Bruk Magento Config'."
"Order Summary Settings","Innstillinger for bestillingssammendrag"
"Show Order Review (Shipping Information)","Vis ordreanmeldelse (fraktinformasjon)"
"Useful for EU countries","Nyttig for EU-land"
"Leave empty to add review without the title","La være tomt for å legge til anmeldelse uten tittelen"
"Custom CSS and JS","Tilpasset CSS og JS"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Bruk mindre syntaks og variabler for å endre stiler!<br/>Se listen over tilgjengelige variabler: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Du må kjøre kommandoen `setup:static-content:deploy` for å se Endringer."
Performance,Opptreden
"Use jsBuild","Bruk jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Kombiner js-filer til ett enkelt jsbuild for å redusere antall forespørsler og forbedre lastetiden for siden."
"jsBuild include paths","jsBuild inkluderer stier"
