"Url Path","Ścieżka URL"
"After Adding a Product Redirect to Firecheckout","Po dodaniu przekierowania produktu do Firecheckout"
"Page Layout","Układ strony"
"Form Styles","Style formularzy"
"Use field placeholders instead of labels","Używaj symboli zastępczych pól zamiast etykiet"
"Show field errors and notices in the Tooltips","Pokaż błędy pól i uwagi w etykietkach narzędzi"
"Additional Content","Dodatkowa zawartość"
"Above Firecheckout Form","Powyżej formularza kontroli ogniowej"
"Below Firecheckout Form","Poniżej formularza kontroli ogniowej"
"Below order summary (Above place order button)","Poniżej podsumowania zamówienia (przycisk zamówienia powyżej miejsca)"
"Below place order button","Poniżej przycisku zamówienia"
"Intro Popup","Wyskakujące okienko"
"Content for Guest Customers","Treść dla klientów gości"
"Content for Registered Customers","Treść dla zarejestrowanych klientów"
"Default Method","Metoda domyślna"
"Default Method Code","Domyślny kod metody"
"Use this field if you can't find the method you are looking for in the previous option","Użyj tego pola, jeśli nie możesz znaleźć metody, której szukasz w poprzedniej opcji"
"Hide methods if single method is available only","Ukryj metody, jeśli dostępna jest tylko jedna metoda"
"Payment Settings","Ustawienia płatności"
"Show Billing Address Title","Pokaż tytuł adresu rozliczeniowego"
"This option is not used when Billing Address displayed inside Payment Method","Ta opcja nie jest używana, gdy adres rozliczeniowy jest wyświetlany w metodzie płatności"
"Horizontal (Label aside of the field)","Poziomo (etykieta poza polem)"
"Basic (Same as horizontal, except label above the field)","Podstawowy (Taki sam jak poziomy, z wyjątkiem etykiety nad polem)"
"Compact (Multiple fields per row)","Kompaktowy (wiele pól w rzędzie)"
"1 Column (Multistep Wizard)","1 kolumna (Kreator wieloetapowy)"
"1 Column (Expanded)","1 kolumna (rozwinięta)"
"2 Columns (Wide Payment and Shipping sections)","2 kolumny (szerokie sekcje płatności i wysyłki)"
"2 Columns (Place Payment and Shipping sections side by side)","2 kolumny (miejsce obok siebie sekcja Płatności i wysyłka)"
"3 Columns","3 kolumny"
"Default Checkout Layout","Domyślny układ kasy"
"Empty (No Header and Footer)","Pusty (bez nagłówka i stopki)"
"Minimal (Header with store Logo only)","Minimalna (nagłówek tylko z logo sklepu)"
Full,Pełny
"Back to Store","Powrót do sklepu"
"Continue Shopping","Kontynuować zakupy"
"Firecheckout Page Header Container","Kontener nagłówka strony kontroli ogniowej"
"Firecheckout Page Header","Nagłówek strony Firecheckout"
"Please specify a shipping method.","Proszę podać metodę wysyłki."
"Please specify a payment method.","Proszę podać metodę płatności."
Cart,Wózek
"Use Magento Config (Sales > Checkout > Checkout Options)","Użyj Magento Config (Sprzedaż> Kasa> Opcje kasy)"
"Payment Page (Above Payment Methods)","Strona płatności (powyższe metody płatności)"
"Shipping Page (Below Shipping Address)","Strona wysyłki (poniżej adresu wysyłki)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Niektóre moduły innych firm mogą nie działać poprawnie z niestandardową pozycją adresu. W takim przypadku wybierz opcję „Użyj Magento Config”."
"Order Summary Settings","Ustawienia podsumowania zamówienia"
"Show Order Review (Shipping Information)","Pokaż przegląd zamówienia (informacje o wysyłce)"
"Useful for EU countries","Przydatny dla krajów UE"
"Leave empty to add review without the title","Pozostaw puste, aby dodać recenzję bez tytułu"
"Custom CSS and JS","Niestandardowe CSS i JS"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Używaj mniej składni i zmiennych, aby zmieniać style!<br/>Zobacz listę dostępnych zmiennych: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Dokumenty Firecheckout"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Musisz uruchomić komendę `setup:static-content:deploy`, aby zobaczyć zmiany."
Performance,Występ
"Use jsBuild","Użyj jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Łącz pliki js w jeden jsbuild, aby zmniejszyć liczbę żądań i skrócić czas ładowania strony."
"jsBuild include paths","jsBuild obejmują ścieżki"
