"Url Path","Url Path"
"After Adding a Product Redirect to Firecheckout","Efter att ha lagt till en produktomdirigering till Firecheckout"
"Page Layout",Sidlayout
"Form Styles",Formformat
"Use field placeholders instead of labels","Använd fältplatshållare istället för etiketter"
"Show field errors and notices in the Tooltips","Visa fältfel och meddelanden i verktygstips"
"Additional Content","Ytterligare innehåll"
"Above Firecheckout Form","Ovanför formuläret för brandcheckout"
"Below Firecheckout Form","Nedanför formuläret för brandkontroll"
"Below order summary (Above place order button)","Nedan ordningsöversikt (knappen över beställning)"
"Below place order button","Nedan beställningsknappen"
"Intro Popup","Intro Popup"
"Content for Guest Customers","Innehåll för gästkunder"
"Content for Registered Customers","Innehåll för registrerade kunder"
"Default Method",Standardmetod
"Default Method Code",Standardmetodkod
"Use this field if you can't find the method you are looking for in the previous option","Använd det här fältet om du inte hittar den metod du letar efter i det föregående alternativet"
"Hide methods if single method is available only","Dölj metoder om en enda metod endast är tillgänglig"
"Payment Settings",Betalningsinställningar
"Show Billing Address Title","Visa faktureringsadressens titel"
"This option is not used when Billing Address displayed inside Payment Method","Det här alternativet används inte när faktureringsadress visas i betalningsmetoden"
"Horizontal (Label aside of the field)","Horisontell (etikett bortsett från fältet)"
"Basic (Same as horizontal, except label above the field)","Grundläggande (Samma som horisontellt, utom etikett ovanför fältet)"
"Compact (Multiple fields per row)","Kompakt (flera fält per rad)"
"1 Column (Multistep Wizard)","1 kolumn (multistep-guiden)"
"1 Column (Expanded)","1 kolumn (utökad)"
"2 Columns (Wide Payment and Shipping sections)","2 kolumner (avsnitt om bred betalning och frakt)"
"2 Columns (Place Payment and Shipping sections side by side)","2 kolumner (placera betalnings- och leveransavsnitt sida vid sida)"
"3 Columns","3 kolumner"
"Default Checkout Layout",Standardutcheckning
"Empty (No Header and Footer)","Tom (Ingen sidhuvud och sidfot)"
"Minimal (Header with store Logo only)","Minimal (Header with store Logo)"
Full,Full
"Back to Store","Tillbaka till butiken"
"Continue Shopping","Fortsätt handla"
"Firecheckout Page Header Container","Firecheckout Sidhuvud Container"
"Firecheckout Page Header","Firecheckout Sidhuvud"
"Please specify a shipping method.","Ange en leveransmetod."
"Please specify a payment method.","Ange en betalningsmetod."
Cart,Vagn
"Use Magento Config (Sales > Checkout > Checkout Options)","Använd Magento Config (Försäljning> Kassa> Kassaalternativ)"
"Payment Page (Above Payment Methods)","Betalningssida (ovan betalningsmetoder)"
"Shipping Page (Below Shipping Address)","Fraktsida (nedanför leveransadress)"
"Some third-party modules may not work correctly with custom address position. In this case, select 'Use Magento Config' option please.","Vissa tredjepartsmoduler fungerar kanske inte korrekt med anpassad adressposition. I detta fall väljer du alternativet ""Använd Magento Config""."
"Order Summary Settings","Inställningar för orderöversikt"
"Show Order Review (Shipping Information)","Visa beställningsgranskning (fraktinformation)"
"Useful for EU countries","Användbart för EU-länder"
"Leave empty to add review without the title","Lämna tomt för att lägga till recension utan titeln"
"Custom CSS and JS","Anpassade CSS och JS"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Använd mindre syntax och variabler för att ändra stilar!<br/>Se listan över tillgängliga variabler: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Du måste köra kommandot `setup:static-content:deploy` för att se kommandot ändringar."
Performance,Prestanda
"Use jsBuild","Använd jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Kombinera js-filer i enstaka jsbuild för att minska antalet förfrågningar och förbättra sidbelastningstiden."
"jsBuild include paths","jsBuild inkluderar sökvägar"
