"Url Path","URL-адреса"
"After Adding a Product Redirect to Firecheckout","Перенаправляти на Firecheckout після додавання продукту в кошик"
"Page Layout","Макет сторінки"
"Form Styles","Стилі форми"
"Use field placeholders instead of labels","Використовувати плейсхолдери полів замість лейб поряд з полями"
"Show field errors and notices in the Tooltips","Відображати помилки та повідомлення біля полів у вигляді спливаючих підказок"
"Additional Content","Додатковий вміст"
"Above Firecheckout Form","Над формою Firecheckout"
"Below Firecheckout Form","Під формою Firecheckout"
"Below order summary (Above place order button)","Під інформацією про замовлення (Над кнопкою ""Купити"")"
"Below place order button","Під кнопкою ""Купити"""
"Intro Popup","Спливаюче вікно при відкритті сторінки"
"Content for Guest Customers","Вміст для гостей"
"Content for Registered Customers","Вміст для зареєстрованих клієнтів"
"Default Method","Метод за замовчуванням"
"Default Method Code","Код методу за замовчуванням"
"Use this field if you can't find the method you are looking for in the previous option","Використовуйте це поле, якщо ви не можете знайти метод в попередньому полі"
"Hide methods if single method is available only","Сховати секцію, якщо доступний лише один метод"
"Payment Settings","Налаштування секції ""Спосіб оплати"""
"Show Billing Address Title","Показати заголовок над платіжною адресою"
"This option is not used when Billing Address displayed inside Payment Method","Цей параметр не використовується, коли платіжна адреса відображається всередині платіжного методу"
"Horizontal (Label aside of the field)","Горизонтальний (Лейба зліва від поля)"
"Basic (Same as horizontal, except label above the field)","Звичайний (Те ж саме, що горизонтально, за винятком лейби над полем)"
"Compact (Multiple fields per row)","Компактна (Кілька полів на рядок)"
"1 Column (Multistep Wizard)","1 стовпець (Покрокова оплата)"
"1 Column (Expanded)","1 стовпець (Односторінкова оплата)"
"2 Columns (Wide Payment and Shipping sections)","2 стовпці (Широкі секції оплати та доставки)"
"2 Columns (Place Payment and Shipping sections side by side)","2 стовпці (Розмістити секції оплати та доставки поруч)"
"3 Columns","3 стовпця"
"Default Checkout Layout","Макет оформлення замовлення за замовчуванням"
"Empty (No Header and Footer)","Порожній (Без хедера та футера)"
"Minimal (Header with store Logo only)","Мінімальний (Хедер тільки із логотипом магазину)"
Full,Повний
"Back to Store","Повернутися до магазину"
"Continue Shopping","Продовжити покупки"
"Firecheckout Page Header Container","Контейнер заголовка сторінки Firecheckout"
"Firecheckout Page Header","Заголовок сторінки Firecheckout"
"Please specify a shipping method.","Будь ласка, вкажіть спосіб доставки."
"Please specify a payment method.","Будь ласка, вкажіть спосіб оплати."
Cart,Кошик
"Use Magento Config (Sales > Checkout > Checkout Options)","Використовувати конфігурацію Magento (Продажі > Замовлення > Параметри оформлення замовлення)"
"Payment Page (Above Payment Methods)","Сторінка способу оплати (Над способами оплати)"
"Shipping Page (Below Shipping Address)","Сторінка способу доставки (Під адресою доставки)"
"Some third-party modules may not work correctly with custom position. In this case, select 'Use Magento Config' option please.","Деякі сторонні модулі можуть працювати некоректно із нестандартним розміщенням. У цьому випадку виберіть опцію ""Використовувати конфігурацію Magento""."
"Order Summary Settings","Налаштування секції ""Інформація про замовлення"""
"Show Order Review (Shipping Information)","Показати короткий огляд замовлення (Інформація про доставку)"
"Useful for EU countries","Корисно для країн ЄС"
"Leave empty to add review without the title","Залиште порожнє, щоб додати огляд без заголовка"
"Custom CSS and JS","Користувацькі CSS та JS"
"Use less syntax and variables to change styles!<br/>See the list of available variables: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Firecheckout Docs"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>You must run `setup:static-content:deploy` command to see the changes.","Використовуйте синтаксис LESS та змінні для зміни стилів!<br/>Список доступних змінних: <a href=""http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/"" title=""Довідка Firecheckout"">http://docs.swissuplabs.com/m2/extensions/firecheckout/customization/less-variables/</a><br/>Необхідно виконати команду `setup:static-content:deploy`, щоб побачити зміни."
Performance,Продуктивність
"Use jsBuild","Використовувати jsBuild"
"Combine js files into single jsbuild to reduce number of requests and improve page load time.","Комбінувати js-файли в один, щоб зменшити кількість запитів та покращити час завантаження сторінки."
"jsBuild include paths","Шляхи для jsBuild"
