Geoip,Geoip
"MaxMind Database","MaxMind Database"
"MaxMind Service","MaxMind Service"
"IpStack","IpStack"
"Maxmind database file was not found.","Maxmind database file was not found."
Provider,Provider
"Account ID","Account ID"
"License Key","License Key"
"Get your Account ID at <a href='https://www.maxmind.com/en/accounts/current/license-key'>https://www.maxmind.com</a>","Get your Account ID at <a href='https://www.maxmind.com/en/accounts/current/license-key'>https://www.maxmind.com</a>"
"Get your License Key at <a href='https://www.maxmind.com/en/accounts/current/license-key'>https://www.maxmind.com</a>","Get your License Key at <a href='https://www.maxmind.com/en/accounts/current/license-key'>https://www.maxmind.com</a>"
"API Key","API Key"
"Get your free API key at <a href='https://ipstack.com/product'>https://ipstack.com/product</a>","Get your free API key at <a href='https://ipstack.com/product'>https://ipstack.com/product</a>"
"Last Update: %1","Last Update: %1"
"Update Database","Update Database"
"Download Database","Download Database"
"Database successfully downloaded.","Database successfully downloaded."
"Edition","Edition"
"GeoLite2-City (Free)","GeoLite2-City (Free)"
"GeoIP2-City (Paid)","GeoIP2-City (Paid)"
"Download GeoIP Database","Download GeoIP Database"
"Archive successfully unpacked to %1, but *.mmdb database not found.","Archive successfully unpacked to %1, but *.mmdb database not found."
"Archive will be downloaded, unpacked, and *.mmdb database will be placed in ""var/swissup/geoip"" folder as ""maxmind.mmdb"" file.","Archive will be downloaded, unpacked, and *.mmdb database will be placed in ""var/swissup/geoip"" folder as ""maxmind.mmdb"" file."
