Geoip,Geoip
"MaxMind Database","База даних MaxMind"
"MaxMind Service","Сервіс MaxMind"
IpStack,IpStack
"Maxmind database file was not found.","Файл бази даних Maxmind не знайдено."
Provider,Провайдер
"Account ID","ID акаунту"
"License Key","Ліцензійний ключ"
"Get your Account ID at <a href='https://www.maxmind.com/en/accounts/current/license-key'>https://www.maxmind.com</a>","Отримайте ідентифікатор свого облікового запису на <a href='https://www.maxmind.com/en/accounts/current/license-key'>https://www.maxmind.com</a>"
"Get your License Key at <a href='https://www.maxmind.com/en/accounts/current/license-key'>https://www.maxmind.com</a>","Отримайте ліцензійний ключ на <a href='https://www.maxmind.com/en/accounts/current/license-key'>https://www.maxmind.com</a>"
"API Key","API Ключ"
"Get your free API key at <a href='https://ipstack.com/product'>https://ipstack.com/product</a>","Отримайте безкоштовний ключ API на <a href='https://ipstack.com/product'>https://ipstack.com/product</a>"
