"Invalid Request Params","잘못된 요청 매개 변수"
"Can't find a attachment to delete.","삭제할 첨부 파일을 찾을 수 없습니다."
"Invalid Hash Params","잘못된 해시 매개 변수"
OrderAttachment,"주문 첨부"
Attachments,첨부
"Can't find a attachment to update.","업데이트 할 첨부 파일을 찾을 수 없습니다."
"Remove Item","아이템 제거"
"Invalid File Type","잘못된 파일 형식"
"Write comment here","의견 쓰기"
"Size of the file is greather than allowed","파일 크기가 허용보다 큽니다"
"You have reached the limit of files","파일 한도에 도달했습니다"
Download,다운로드
"Drag or Select your files here","여기에서 파일을 드래그하거나 선택하십시오"
File,파일
Comment,논평
Action,동작
"Download Item","아이템 다운로드"
Swissup,Swissup
General,일반
"Allow file upload during checkout","체크 아웃 중 파일 업로드 허용"
"Allow file upload on order view page","주문보기 페이지에서 파일 업로드 허용"
"File restrictions","파일 제한"
Limit,한도
"Size, Kilobytes","크기, 킬로바이트"
"Allowed extensions","허용되는 확장"
"File Type","파일 타입"
Updated,업데이트
Modified,수정
