"Please enter a valid VAT number.","الرجاء إدخال رقم ضريبة القيمة المضافة صالح."
"Show VAT Number field as required","إظهار حقل رقم ضريبة القيمة المضافة كما هو مطلوب"
"VAT Validation","التحقق من صحة الضريبة على القيمة المضافة"
"Validate VAT number using VIES service","التحقق من صحة رقم ضريبة القيمة المضافة باستخدام خدمة VIES"
"Allow to place order using invalid VAT Number","السماح بوضع الطلب باستخدام رقم ضريبة القيمة المضافة غير صالح"
"Tax-free Purchases","مشتريات معفاة من الضرائب"
"Remove tax if VAT Number is valid","أزل الضريبة إذا كان رقم ضريبة القيمة المضافة صالحًا"
"Allow tax-free purchases for all EU countries","السماح بمشتريات معفاة من الضرائب لجميع دول الاتحاد الأوروبي"
"TAX-free applicable EU countries","دول الاتحاد الأوروبي المطبقة خالية من الضرائب"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> دول الاتحاد الأوروبي فقط. </ strong> مزيد من المعلومات حول VIES هنا: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> الأسئلة الشائعة </ a > ، <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> المساعدة </a>. <br/> استخدم <em> عام> خيارات البلد> دول الاتحاد الأوروبي </ em> لاستبعاد بعض دول الاتحاد الأوروبي."
