"Please enter a valid VAT number.","Bitte geben Sie eine gültige Umsatzsteuer-Identifikationsnummer ein."
"Show VAT Number field as required","Zeigen Sie das erforderliche Feld für die Umsatzsteuer-Identifikationsnummer an"
"VAT Validation","MwSt. Validierung"
"Validate VAT number using VIES service","Überprüfen Sie die Umsatzsteuer-Identifikationsnummer mithilfe des MIAS-Dienstes"
"Allow to place order using invalid VAT Number","Bestellung mit ungültiger Umsatzsteuer-Identifikationsnummer aufgeben"
"Tax-free Purchases","Steuerfreie Einkäufe"
"Remove tax if VAT Number is valid","Steuern entfernen, wenn die Umsatzsteuer-Identifikationsnummer gültig ist"
"Allow tax-free purchases for all EU countries","Steuerfreie Einkäufe für alle EU-Länder zulassen"
"TAX-free applicable EU countries","Steuerfrei anwendbare EU-Länder"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Nur EU-Länder. </ strong> Weitere Informationen zu MIAS finden Sie hier: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Hilfe </a>. <br/> Verwenden Sie <em> Allgemein> Länderoptionen> EU-Länder </ em>, um einige EU-Länder auszuschließen."
