"Please enter a valid VAT number.","Please enter a valid VAT number."
"Show VAT Number field as required","Show VAT Number field as required"
"VAT Validation","VAT Validation"
"Validate VAT number using VIES service","Validate VAT number using VIES service"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries."
"Allow to place order using invalid VAT Number","Allow to place order using invalid VAT Number"
"Tax-free Purchases","Tax-free Purchases"
"Remove tax if VAT Number is valid","Remove tax if VAT Number is valid"
"Allow tax-free purchases for all EU countries","Allow tax-free purchases for all EU countries"
"TAX-free applicable EU countries","TAX-free applicable EU countries"
"Multishipping checkout is not supported and will use standard tax calculation logic.","Multishipping checkout is not supported and will use standard tax calculation logic."
