"Please enter a valid VAT number.","Por favor, introduzca un número de IVA válido."
"Show VAT Number field as required","Mostrar el campo Número de IVA según sea necesario"
"VAT Validation","Validación de IVA"
"Validate VAT number using VIES service","Validar el número de IVA utilizando el servicio VIES"
"Allow to place order using invalid VAT Number","Permitir realizar un pedido con un número de IVA no válido"
"Tax-free Purchases","Compras libres de impuestos"
"Remove tax if VAT Number is valid","Eliminar impuestos si el número de IVA es válido"
"Allow tax-free purchases for all EU countries","Permitir compras libres de impuestos para todos los países de la UE"
"TAX-free applicable EU countries","Países de la UE libres de impuestos aplicables"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Solo países de la UE. </strong> Más información sobre VIES aquí: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> Preguntas frecuentes </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Ayuda </a>. <br/> Use <em> General> Opciones de país> Países de la Unión Europea </em> para excluir algunos países de la UE."
