"Please enter a valid VAT number.","Veuillez saisir un numéro de TVA valide."
"Show VAT Number field as required","Afficher le champ Numéro de TVA comme requis"
"VAT Validation","Validation de la TVA"
"Validate VAT number using VIES service","Valider le numéro de TVA à l'aide du service VIES"
"Allow to place order using invalid VAT Number","Autoriser à passer une commande en utilisant un numéro de TVA non valide"
"Tax-free Purchases","Achats hors taxes"
"Remove tax if VAT Number is valid","Supprimer la taxe si le numéro de TVA est valide"
"Allow tax-free purchases for all EU countries","Autoriser les achats hors taxes pour tous les pays de l'UE"
"TAX-free applicable EU countries","Pays de l'UE applicables en franchise de taxe"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Pays de l'UE uniquement. </strong> Plus d'informations sur VIES ici: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Aide </a>. <br/> Utilisez <em> Général> Options de pays> Pays de l'Union européenne </em> pour exclure certains pays de l'UE."
