"Please enter a valid VAT number.","אנא הזן מספר מע""מ חוקי."
"Show VAT Number field as required","הצג שדה מספר מע""מ כנדרש"
"VAT Validation","אימות מע""מ"
"Validate VAT number using VIES service","אמת את מספר המע""מ באמצעות שירות VIES"
"Allow to place order using invalid VAT Number","אפשר לבצע הזמנה באמצעות מספר מע""מ לא חוקי"
"Tax-free Purchases","רכישות פטורות ממס"
"Remove tax if VAT Number is valid","הסר מס אם מספר המע""מ תקף"
"Allow tax-free purchases for all EU countries","אפשר רכישות פטורות ממס עבור כל מדינות האיחוד"
"TAX-free applicable EU countries","מדינות האיחוד האירופיות החלות ללא מס"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> מדינות האיחוד האירופי בלבד. </ strong> מידע נוסף על VIES כאן: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> שאלות ותשובות </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> עזרה </a>. <br/> השתמש ב <em> כללי> אפשרויות מדינה> מדינות האיחוד האירופי </ em> כדי להחריג כמה מדינות באיחוד."
