"Please enter a valid VAT number.","Inserisci un numero di partita IVA valido."
"Show VAT Number field as required","Mostra il campo Numero partita IVA come richiesto"
"VAT Validation","Convalida IVA"
"Validate VAT number using VIES service","Convalida il numero di partita IVA tramite il servizio VIES"
"Allow to place order using invalid VAT Number","Consentire di effettuare l'ordine utilizzando un numero di partita IVA non valido"
"Tax-free Purchases","Acquisti esenti da imposte"
"Remove tax if VAT Number is valid","Rimuovi imposta se il numero di partita IVA è valido"
"Allow tax-free purchases for all EU countries","Consenti acquisti esenti da imposte per tutti i paesi dell'UE"
"TAX-free applicable EU countries","Paesi UE applicabili senza tasse"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Solo Paesi UE. </strong> Ulteriori informazioni su VIES qui: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Guida </a>. <br/> Usa <em> Generale> Opzioni paese> Paesi dell'Unione Europea </em> per escludere alcuni Paesi dell'UE."
