"Please enter a valid VAT number.","유효한 VAT 번호를 입력하십시오."
"Show VAT Number field as required","필요에 따라 VAT 번호 필드 표시"
"VAT Validation","부가가치세 검증"
"Validate VAT number using VIES service","VIES 서비스를 사용하여 VAT 번호 확인"
"Allow to place order using invalid VAT Number","잘못된 VAT 번호를 사용하여 주문할 수 있도록 허용"
"Tax-free Purchases","면세 구매"
"Remove tax if VAT Number is valid","부가가치세 번호가 유효한 경우 세금을 제거"
"Allow tax-free purchases for all EU countries","모든 EU 국가에 대해 면세 구매 허용"
"TAX-free applicable EU countries","세금이 적용되지 않는 EU 국가"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> EU 국가 만 해당 </ strong> VIES에 대한 자세한 내용은 여기 : <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> 도움말 </a>. <br/> <em> 일반> 국가 옵션 사용> 유럽 연합 국가 </ em> : 일부 EU 국가를 제외합니다."
