"Please enter a valid VAT number.","Vennligst tast inn et gyldig MVA-nummer."
"Show VAT Number field as required","Vis momsnummerfelt etter behov"
"VAT Validation",Mva-validering
"Validate VAT number using VIES service","Valider MVA-nummer ved hjelp av VIES-tjenesten"
"Allow to place order using invalid VAT Number","Tillat bestilling med ugyldig merverdiavgiftsnummer"
"Tax-free Purchases","Skattefrie kjøp"
"Remove tax if VAT Number is valid","Fjern skatt hvis MVA-nummeret er gyldig"
"Allow tax-free purchases for all EU countries","Tillat skattefrie kjøp for alle EU-land"
"TAX-free applicable EU countries","SKATTFRI gjeldende EU-land"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Bare EU-land. </strong> Mer informasjon om VIES her: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Hjelp </a>. <br/> Bruk <em> Generelt> Landalternativer> EU-land </em> for å ekskludere noen EU-land."
