"Please enter a valid VAT number.","Voer een geldig btw-nummer in."
"Show VAT Number field as required","Toon veld BTW nummer indien nodig"
"VAT Validation",BTW-validatie
"Validate VAT number using VIES service","Valideer btw-nummer met behulp van de VIES-service"
"Allow to place order using invalid VAT Number","Toestaan om bestelling te plaatsen met behulp van ongeldig btw-nummer"
"Tax-free Purchases","Belastingvrije aankopen"
"Remove tax if VAT Number is valid","Belasting verwijderen als btw-nummer geldig is"
"Allow tax-free purchases for all EU countries","Sta belastingvrije aankopen toe voor alle EU-landen"
"TAX-free applicable EU countries","Belastingvrije toepasselijke EU-landen"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Alleen EU-landen. </strong> Meer informatie over VIES hier: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Help </a>. <br/> Gebruik <em> Algemeen> Landopties> Landen van de Europese Unie </em> om sommige EU-landen uit te sluiten."
