"Please enter a valid VAT number.","Proszę podać poprawny numer VAT."
"Show VAT Number field as required","Pokaż pole numeru VAT zgodnie z wymaganiami"
"VAT Validation","Walidacja VAT"
"Validate VAT number using VIES service","Sprawdź poprawność numeru VAT za pomocą usługi VIES"
"Allow to place order using invalid VAT Number","Pozwól na złożenie zamówienia przy użyciu nieprawidłowego numeru VAT"
"Tax-free Purchases","Zakupy bez podatku"
"Remove tax if VAT Number is valid","Usuń podatek, jeśli numer VAT jest ważny"
"Allow tax-free purchases for all EU countries","Zezwalaj na zakupy wolne od podatku we wszystkich krajach UE"
"TAX-free applicable EU countries","Kraje UE wolne od podatku"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Tylko kraje UE. </strong> Więcej informacji o VIES tutaj: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Pomoc </a>. <br/> Użyj <em> Ogólne> Opcje krajowe> Kraje Unii Europejskiej </em>, aby wykluczyć niektóre kraje UE."
