"Please enter a valid VAT number.","Digite um número de IVA válido."
"Show VAT Number field as required","Mostrar campo Número do IVA, conforme necessário"
"VAT Validation","Validação de IVA"
"Validate VAT number using VIES service","Valide o número do IVA usando o serviço VIES"
"Allow to place order using invalid VAT Number","Permitir fazer pedidos usando o número de IVA inválido"
"Tax-free Purchases","Compras isentas de impostos"
"Remove tax if VAT Number is valid","Remover imposto se o número de IVA for válido"
"Allow tax-free purchases for all EU countries","Permitir compras isentas de impostos para todos os países da UE"
"TAX-free applicable EU countries","Países da UE aplicáveis sem impostos"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Apenas países da UE. </strong> Mais informações sobre o VIES aqui: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Ajuda </a>. <br/> Use <em> Geral> Opções do país> Países da União Europeia </em> para excluir alguns países da UE."
