"Please enter a valid VAT number.","Пожалуйста, введите действительный номер плательщика НДС."
"Show VAT Number field as required","Показывать поле с номером плательщика НДС как обязательное"
"VAT Validation","Проверка номера плательщика НДС"
"Validate VAT number using VIES service","Проверка номера плательщика НДС с помощью сервиса VIES"
"Allow to place order using invalid VAT Number","Разрешить оформить заказ с использованием неверного номера плательщика НДС"
"Tax-free Purchases","Беспошлинные покупки"
"Remove tax if VAT Number is valid","Удалить налог, если номер плательщика НДС действителен"
"Allow tax-free purchases for all EU countries","Разрешить беспошлинные покупки для всех стран ЕС"
"TAX-free applicable EU countries","Страны ЕС с возможностью беспошлинной покупки"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong>Только для стран ЕС.</ strong> Подробнее о VIES можно узнать здесь: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Справка</a>.<br/>Используйте <em>Общие > Параметры страны > Страны Евросоюза</em> чтобы исключить некоторые страны ЕС."
