"Please enter a valid VAT number.","Ange ett giltigt momsnummer."
"Show VAT Number field as required","Visa momsnummerfält efter behov"
"VAT Validation",Momsvalidering
"Validate VAT number using VIES service","Validera momsnummer med hjälp av VIES-tjänsten"
"Allow to place order using invalid VAT Number","Tillåt att göra en beställning med ogiltigt momsnummer"
"Tax-free Purchases","Skattefria köp"
"Remove tax if VAT Number is valid","Ta bort skatten om momsnumret är giltigt"
"Allow tax-free purchases for all EU countries","Tillåt skattefria köp för alla EU-länder"
"TAX-free applicable EU countries","SKATTFria tillämpliga EU-länder"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Endast EU-länder. </strong> Mer information om VIES här: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank""> FAQ </ a >, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Hjälp </a>. <br/> Använd <em> Allmänt> Landsalternativ> Europeiska unionens länder </em> för att utesluta vissa EU-länder."
