"Please enter a valid VAT number.","Введіть дійсний номер платника ПДВ."
"Show VAT Number field as required","Показувати номер платника ПДВ як обов'язкове поле"
"VAT Validation","Перевірка номера платника ПДВ"
"Validate VAT number using VIES service","Перевіряти номер платника ПДВ за допомогою сервіса VIES"
"Allow to place order using invalid VAT Number","Дозволити розміщувати замовлення, використовуючи недійсний номер платника ПДВ"
"Tax-free Purchases","Покупки без оподаткування"
"Remove tax if VAT Number is valid","Скасувати податок, якщо номер ПДВ дійсний"
"Allow tax-free purchases for all EU countries","Дозволити покупки без податків для всіх країн ЄС"
"TAX-free applicable EU countries","Країни ЄС, що можуть купувати без податку"
"<strong>EU Countries only.</strong> More information about VIES here: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank"">Help</a>.<br/>Use <em>General > Country Options > European Union Countries</em> to exclude some EU countries.","<strong> Тільки країни ЄС. </strong> Докладніше про VIES тут: <a href=""http://ec.europa.eu/taxation_customs/vies/faq.html"" target=""_blank"">FAQ</a>, <a href=""http://ec.europa.eu/taxation_customs/vies/help.html"" target=""_blank""> Довідка </a>.<br/>Використовуйте <em> Загальні > Параметри країни > Країни Європейського Союзу</em>, щоб виключити деякі країни ЄС."
